ticker,classification,reasoning,theme,ticker
ORCL,core,"Oracle is strategically expanding its presence in AI and cloud infrastructure, with a strong reputation for data security, aligning with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms,
FI,core,"Fiserv's core business is providing financial technology and payment processing services to financial institutions and retailers, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
EEFT,core,"EuroNet Worldwide is a global payment services provider offering a comprehensive suite of solutions including payment software, money transfer services, and financial infrastructure, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
WU,core,"Western Union's core business is money transfer services, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
V,core,"Visa is a global leader in digital payments, providing the infrastructure and products for various payment methods, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
PYPL,core,"PayPal's core business is providing online payments and digital wallets, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
FOUR,core,"Shift4 Payments directly provides payment processing solutions, hardware, software, and business intelligence, aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
NCNO,core,"NCINO provides cloud-based banking software and core banking platforms, directly serving the digital finance and fintech industry with solutions for financial institutions.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SOFI,core,"SoFi is a leading fintech company offering a comprehensive suite of financial products and services, directly aligning with the digital finance, payments, neobanks, and fintech infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
JKHY,core,"Jack Henry & Associates provides financial technology solutions specifically for community banks and credit unions, directly aligning with the digital finance, payments, and fintech infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
GPN,core,"Global Payments provides payment technology and services to merchants and financial institutions, directly operating within the digital finance and payments industry.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
NU,core,"Nubank is a digital financial services company providing banking solutions, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SYF,core,"Synchrony Financial's core business is consumer lending, digital lending, and payment solutions, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
BR,core,"Broadriidge Financial Solutions provides financial document solutions, wealth management platforms, and trading platforms, all of which directly fall under the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
JPM,core,"JPMorgan Chase's business is fundamentally in financial services, with a strong focus on digital transformation, AI, and sustainable finance, aligning directly with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
PNC,core,"PNC Financial Services Group is a major US bank offering a comprehensive suite of financial services, including retail banking, wealth management, and lending, and is actively investing in fintech and exploring new technologies like instant payments and mobile banking, indicating a direct involvement in the digital finance space.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SSNC,core,"SS&C Technologies provides software and software-as-a-service solutions specifically for the financial services industry, including fintech markets, wealth management, and investment management technology, making it a core player in digital finance and fintech infrastructure.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
FITB,core,"Fifth Third Bancorp is a regional bank with a significant focus on digital banking and fintech partnerships, indicating a direct involvement in the digital finance and payments space.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
COLB,core,"Columbia Banking System offers a comprehensive suite of banking and wealth management services with a strong focus on digital and mobile banking, indicating its core business is directly related to digital finance and payments.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
RKT,core,"Rocket Companies, Inc. provides digital financial services, including consumer lending and mortgage lending, and has a robust digital platform ecosystem, aligning with the core of the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
CBSH,core,"Commerce Bancshares provides a comprehensive suite of financial services, including payment processing, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
AFRM,core,"Affirm's core business is providing Buy Now, Pay Later (BNPL) financing, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
META,core,"Meta Platforms' core business is the development and advancement of the metaverse, with significant investments in AR/VR technologies and AI platforms.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
RBLX,core,"Roblox is a leading online game platform where users create and play games, effectively operating as a virtual world and a key player in the gaming market, aligning directly with the Metaverse, AR/VR, and Gaming themes.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
U,core,"Unity Software's primary business is creating interactive 3D experiences, which is central to the Metaverse, AR/VR, and gaming platforms.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
HAS,core,"Hasbro's business is heavily focused on digital entertainment, gaming, and metaverse opportunities, with a strategic pivot towards digital and licensing, indicating a direct relevance to the theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
IAC,core,"IAC is actively investing in AI-powered automation, metaverse expansion, and digital health solutions, indicating a direct focus on the metaverse, AR/VR, and gaming/digital reality platforms theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
APP,core,"AppLovin's core business is mobile gaming and advertising, directly aligning with the Metaverse, AR/VR, Gaming & Digital Reality Platforms theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
TTWO,core,"Take-Two Interactive is a video game publisher and developer, directly involved in the creation and distribution of video games, which falls under the Metaverse, AR/VR, and Gaming & Digital Reality Platforms theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
EA,core,"EA is a video game publisher and developer, directly involved in creating and publishing games, which is central to the Metaverse, AR/VR, and Gaming & Digital Reality Platforms theme.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
MAT,core,"The company is actively integrating technology into its products and platforms, including metaverse exploration (Barbie on Roblox), indicating a direct involvement in the Metaverse and digital reality space.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
AAPL,core,"Apple's strategic direction explicitly mentions augmented reality (AR) and advanced materials as key areas of investment, indicating a direct focus on the Metaverse, AR/VR, and digital reality platforms.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
CHDN,core,"The company's business is directly related to the Metaverse, AR/VR, Gaming & Digital Reality Platforms, with a strong focus on online wagering and gaming platforms.","Metaverse, AR/VR, Gaming & Digital Reality Platforms",
PFE,core,"Pfizer's business is directly focused on research, development, manufacturing, and marketing of prescription medicines, vaccines, and consumer healthcare products, with a strong emphasis on innovation in areas like oncology, rare diseases, mRNA therapeutics, and AI-driven drug discovery, aligning with the investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
CAI,core,"CARIS Life Sciences directly provides molecular profiling services and develops AI-driven solutions for cancer treatment, aligning with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
SRPT,core,"Sarepta Therapeutics directly develops and commercializes gene therapies for rare neuromuscular diseases, making gene therapy development its core business.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
BIO,core,"Bio-Rad Laboratories develops and manufactures products used in life science research and clinical diagnostics, directly aligning with the gene editing, synthetic biology, AI drug discovery, and digital health themes.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
UTHR,core,"United Therapeutics' primary focus is on developing therapies for rare lung diseases and organ transplantation, which directly aligns with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
BMRN,core,"BioMarin is a biotechnology company focused on developing gene therapies for rare genetic disorders, directly aligning with the gene editing and synthetic biology themes.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
APLS,core,"APELLIS PHARMACEUTICALS INC's core business is focused on developing novel therapies for diseases, particularly those driven by the complement system, which directly aligns with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
IONS,core,"Ionis Pharmaceuticals is a pharmaceutical company focused on developing therapeutics using antisense technology, directly aligning with the gene editing and synthetic biology themes.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
INSM,core,"Insmed is a biopharmaceutical company focused on developing novel therapies for rare and underserved diseases, with a strong pipeline in gene therapy and respiratory/inflammatory conditions, directly aligning with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
RARE,core,"Ultragenyx is a pharmaceutical company with a focus on developing gene therapies for rare genetic diseases, directly aligning with the gene editing and synthetic biology investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
DHR,core,"Danaher Corporation's business includes cutting-edge technologies in gene editing, advanced microscopy, molecular diagnostics, and drug development, aligning with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
CERT,core,"Certara's core business is providing technology-enabled solutions for drug discovery and development, directly aligning with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
CRL,core,"Charles River Laboratories is a Contract Research Organization (CRO) heavily involved in drug discovery and development, which directly aligns with the Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
TMO,core,"Thermo Fisher Scientific's core business is in scientific research, development, and manufacturing, with a significant focus on life sciences, healthcare, and biotechnology, directly aligning with the gene editing, synthetic biology, AI drug discovery, and digital health themes.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
QGEN,core,"QIAGEN's core business is providing sample and molecular biology solutions, with a strong focus on molecular diagnostics and personalized medicine, aligning directly with the Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
REGN,core,"Regeneron Pharmaceuticals is a biotechnology company whose primary business is focused on developing innovative therapies for diseases, leveraging proprietary technologies like Trap and VelociSuite, directly aligning with the gene editing, synthetic biology, AI drug discovery, and digital health themes.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
NBIX,core,"Neurocrine Biosciences is a biopharmaceutical company focused on drug discovery, development, and commercialization, directly aligning with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
AMGN,core,"Amgen is a biotechnology company focused on discovering, developing, and commercializing innovative therapeutics, which directly aligns with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
CLVT,core,"Clarivate's business model directly involves AI-driven solutions and digital health capabilities within the life sciences, particularly in drug development and patent analysis, making it a core player in the AI Drug Discovery & Digital Health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
RVMD,core,"Revolution Medicines is a biopharmaceutical company whose core business is focused on developing targeted therapies for RAS-driven cancers, directly aligning with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
LLY,core,"Eli Lilly's business is directly focused on drug discovery and development, with strategic partnerships leveraging AI and machine learning for therapeutic advancements, aligning with the gene editing, synthetic biology, AI drug discovery & digital health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
RVTY,core,"Revvity's focus on reagents and e-commerce specifically serves the cell and gene therapy market, aligning directly with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
PODD,core,"Insulet develops insulin delivery systems, with a focus on AI-powered glucose monitoring and management, directly aligning with the gene editing, synthetic biology, AI drug discovery & digital health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
OGN,core,"OrgaNon is a pharmaceutical company with a strong focus on therapeutic areas including cardiovascular, respiratory, and dermatology, and significant investment in R&D for new therapies, aligning with the gene editing, synthetic biology, AI drug discovery & digital health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
INCY,core,"Incyte is a pharmaceutical company focused on discovering, developing, and commercializing therapies for cancer and inflammatory diseases, directly aligning with the gene editing, synthetic biology, AI drug discovery & digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
GEHC,core,"GE HealthCare's business is directly focused on developing and delivering innovative healthcare solutions, with a strong emphasis on AI integration and strategic direction towards services revenue, aligning with the Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
VRTX,core,"Vertex Pharmaceuticals is a biopharmaceutical company with a core business focused on developing and commercializing therapies for serious diseases, particularly cystic fibrosis, which directly aligns with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
ROIV,core,"Rovivant Sciences has strategically pivoted to focus on developing its own drug candidates and platform technologies, directly aligning with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
DOCS,core,"Doximity's core business is focused on healthcare technology, specifically providing tools and resources to physicians, which aligns with the gene editing, synthetic biology, AI drug discovery, and digital health investment theme.","Gene Editing, Synthetic Biology, AI Drug Discovery & Digital Health",
NOW,core,"ServiceNow's core business is a platform-as-a-service provider focused on workflow automation, with a strong emphasis on AI integration and generative AI capabilities, making it directly relevant to the AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software theme.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
