ticker,classification,reasoning,theme
PATH,core,"UiPath is a leading provider of Robotic Process Automation (RPA) platforms, directly providing a core technology within the robotics, automation, and industrial AI systems space.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
APTV,core,"APTV's core business is the development and manufacturing of critical systems for autonomous driving, electric vehicles, and connected car technology, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ZBRA,core,"Zebra Technologies' core business is in data capture solutions, including machine vision, RFID, and automation, which directly aligns with robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
NVDA,core,"NVIDIA's core business is the design of GPUs and AI hardware, directly fueling advancements in artificial intelligence, autonomous vehicles, and robotics.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ALGM,core,"Allegro Microsystems' core business revolves around designing, developing, and manufacturing sensor-integrated circuits (ICs) and power ICs specifically for motion control and energy-efficient systems, with a strong focus on the automotive and industrial markets, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ST,core,"SensaTech's core business is centered around sensor-based solutions for the automotive, industrial, and energy sectors, with a strong focus on electric vehicles and autonomous driving, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
SNPS,core,"Synopsys' core business is Electronic Design Automation (EDA) software and services, which heavily leverages AI for chip design automation, placing it directly within the robotics, automation, and AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CTSH,core,"Cognizant's business is directly focused on AI-led automation and business process outsourcing, which are key components of robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CGNX,core,"Cognex is a leading manufacturer of machine vision systems and software, directly enabling automated inspection, defect detection, and assembly guidance, which are core components of robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GM,not_relevanant,"General Motors is a global automotive manufacturer, primarily focused on producing vehicles, including electric vehicles. While they are investing in EV technology and autonomous driving, they are a user of the technology rather than a core provider or enabler in the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GGG,core,"The company explicitly mentions 'Graco Robotics, Inc. (GRI)' and its proactive approach to integrating automation into fluid handling systems, indicating a direct involvement in the robotics market.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TER,core,"TeraDyne's core business is the design and manufacture of automated test equipment for the semiconductor and electronics industries, directly addressing a critical bottleneck in high-volume production, which is central to robotics, automation, and autonomous vehicles.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
LCID,core,"Lucid Group is an electric vehicle manufacturer focused on advanced automotive technology, including autonomous driving and battery technology, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
OSK,secondary,"The company is strategically expanding into autonomous vehicles and access equipment, indicating a key beneficiary of the robotics, automation, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
F,core,"Ford Motor Company's strategic focus on electrification, autonomous driving, and connected vehicle technologies, along with significant investment in these areas, directly aligns with the robotics, automation, autonomous vehicles, and industrial AI systems investment theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PEGA,core,"Pega Systems specializes in workflow automation and generative AI-powered decision-making, directly aligning with the theme of Robotics, Automation, Autonomous Vehicles & Industrial AI Systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ALSN,not_relevannt,"Allison Transmission Holdings Inc. is a manufacturer of commercial transmissions and hybrid propulsion systems, primarily serving the automotive and commercial vehicle industries. While they are involved in hybrid technology, their core business is not focused on robotics, autonomous vehicles, or industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PSN,core,"Parsons Corp is actively pivoting towards emerging technologies like AI/ML, cloud, and transportation networks, with a strong focus on automation and infrastructure solutions, indicating a direct alignment with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
LEA,core,"Lear Corporation's acquisition of InTouch Automation and development of innovative products like the Solid State Smart Junction Box (S3JB) directly indicate a commitment to advanced automotive technologies and Industry 4.0 integration, aligning with the Robotics, Automation, Autonomous Vehicles & Industrial AI Systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GOOG,not_relevanant,"Alphabet Inc. is a technology company with a diverse portfolio, including cloud computing, search, and advertising, but its core business is not directly focused on robotics, automation, autonomous vehicles, or industrial AI systems. It is a user of technology, not a provider or enabler within the specified theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
EMR,core,"Emerson Electric's core business is industrial automation and control systems, with a strong focus on digital transformation and automation technology development, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
AN,core,"The company has strategic investments in autonomous vehicle support through a partnership with Waymo, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TRMB,core,"Trimble's strategic focus on agriculture, robotics and automation partnerships, and integration with automation solutions directly align with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CDNS,core,"Cadence Design Systems provides software and hardware for chip design, system-level verification, and electronic design automation (EDA), which are core technologies within the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ISRG,core,"Intuitive Surgical is a developer and manufacturer of robotic surgical systems, directly aligning with the robotics and automation theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
RRX,core,"Regal Rexnord's business focuses on power transmission and industrial motion technologies, which are directly related to automation and robotics applications.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
RIVN,core,"Rivian is an electric vehicle manufacturer with a strong focus on advanced technology, off-road capabilities, and strategic partnerships, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
JCI,core,"The company has a strategic pivot towards data center cooling and building automation, with an acquisition in this area and a partnership with an autonomous robotics company, indicating a focus on technology-driven solutions within its building technologies business.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TSLA,core,"Tesla's core business is electric vehicles and energy solutions, with significant investments in autonomous driving, battery technology, and AI, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PANW,core,"Palo Alto Networks' core business is providing cybersecurity platforms, including AI-powered security solutions, which directly aligns with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
CRWD,core,"The company's primary business is cloud-based threat intelligence and incident response, leveraging AI and machine learning for cybersecurity, directly aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
FFIV,core,"F5 Networks provides application delivery and security solutions, with a strong focus on AI, cloud-native technologies, and security for hybrid and multi-cloud environments, aligning directly with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
ZS,core,"ZScaler's business is directly focused on providing cloud security solutions, leveraging AI for threat detection and prevention, which aligns with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
FTNT,core,"The business description explicitly states that Fortinet provides a broad range of network security products and services, focusing on a comprehensive security fabric architecture, which is directly related to AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
AKAM,core,"Akamai provides a platform for content delivery, security, and intelligent platform services, directly aligning with the theme of AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
GEN,core,"The company's business is directly focused on cybersecurity, providing security software and services, and is actively investing in AI-powered fraud protection and cryptocurrency mining, aligning with the theme.",AI-Powered Cybersecurity & Network Security Platforms
ZM,not_relevanant,"Zoom Communications provides video conferencing solutions, which is a communication technology platform, not directly related to AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
CSCO,core,"Cisco's business is fundamentally centered around networking hardware, software, and services, with a strong focus on security and cloud technologies, aligning with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
AXON,core,"The company is strategically pivoting towards AI-powered public safety tools, leveraging its AI capabilities for police report writing and evidence management, making AI a core part of its business.",AI-Powered Cybersecurity & Network Security Platforms
SAIL,core,"SailPoint's business is directly related to identity security solutions, which is a core component of cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
NET,core,"Cloudflare provides a wide range of cloud computing and cybersecurity services, including CDN, web security, and DDoS protection, directly aligning with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
MSI,core,"The company's business description explicitly mentions a growing focus on AI and data analytics, along with strategic acquisitions in cybersecurity and connected devices, indicating a direct involvement in AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
ESTC,core,"Elastic's core business is providing observability and security solutions, with a strong focus on AI/ML integration and strategic acquisitions in the cybersecurity and cloud computing space, directly aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
CACI,core,"CACI's core business is providing cybersecurity solutions to the U.S. government and international customers, with a focus on threat intelligence and national security, and has a technological advantage with platforms like DarkBlue.",AI-Powered Cybersecurity & Network Security Platforms
PEGA,core,"Pega Systems' business is centered around workflow automation and generative AI-powered decision-making, with a strong focus on AI integration and cloud platforms, directly aligning with the AI-Powered Cybersecurity & Network Security Platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
BAH,core,"Booz Allen Hamilton's core business is providing cybersecurity services to the U.S. government, leveraging digital intelligence and data mining, which directly aligns with the AI-powered cybersecurity theme.",AI-Powered Cybersecurity & Network Security Platforms
GDDY,core,"GoDaddy's strategic pivot to AI with GoDaddy Airo indicates a direct focus on leveraging AI for cybersecurity and network security, aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
UI,core,"Ubiquiti Inc. provides networking solutions, including cloud-based management platforms, which are directly related to network security and infrastructure, aligning with the AI-powered cybersecurity theme.",AI-Powered Cybersecurity & Network Security Platforms
PLTR,core,"Palo Alto Networks provides software platforms for data integration, analysis, and decision support, with a strong focus on AI and machine learning for data insights, directly aligning with the AI-Powered Cybersecurity & Network Security Platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
PSN,core,"Parsons Corp is actively pivoting towards AI/ML and cloud solutions, with a strong focus on cybersecurity and critical infrastructure, aligning with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
CRM,core,"Salesforce's strategic direction and competitive moats explicitly highlight its focus on AI (Einstein), cloud solutions, and customer success platforms, indicating its primary business is in the AI-powered cybersecurity and network security platform space.",AI-Powered Cybersecurity & Network Security Platforms
TEM,core,"The company's business is explicitly stated as leveraging AI and machine learning for healthcare, focusing on personalized medicine and data analytics, which directly aligns with the AI-powered cybersecurity and network security platform theme.",AI-Powered Cybersecurity & Network Security Platforms
PATH,core,"UiPath's core business is Robotic Process Automation (RPA) with a strong focus on integrating AI, making it directly relevant to AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
CXT,core,"Crane NXT's business is directly focused on providing technology solutions for securing, detecting, and authenticating assets, which aligns with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
IRM,core,"Iron Mountain's core business is providing secure data storage, backup, and disaster recovery solutions, which directly aligns with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
DOX,core,"Amdocs is actively developing AI-powered solutions (amAIz) and expanding its capabilities in cloud technologies and AI through acquisitions, directly aligning with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
TRU,core,"The company explicitly leverages AI and data analytics for credit risk assessment and fraud prevention, which is central to the AI-powered cybersecurity and network security platform theme.",AI-Powered Cybersecurity & Network Security Platforms
DT,core,"DynaTrace's core business is an observability platform leveraging AI for comprehensive monitoring and security across multi-cloud environments, directly aligning with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms
ORCL,core,"Oracle is strategically expanding its presence in AI and cloud infrastructure, with a strong reputation for data security, aligning with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
FI,core,"Fiserv's core business is providing financial technology and payment processing services to financial institutions and retailers, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
EEFT,core,"EuroNet Worldwide is a global payment services provider offering a comprehensive suite of solutions including payment software, money transfer services, and financial infrastructure, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
WU,core,"Western Union's core business is money transfer services, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
FIS,core,"FIS provides financial technology solutions, including payment processing, banking, and risk management, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
V,core,"Visa is a global leader in digital payments, providing the infrastructure and products for various payment methods, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
PYPL,core,"PayPal's core business is providing online payments and digital wallets, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
FOUR,core,"Shift4 Payments directly provides payment processing solutions, hardware, software, and business intelligence, aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
NCNO,core,"NCINO provides cloud-based banking software and core banking platforms, directly serving the digital finance and fintech industry with solutions for financial institutions.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
SOFI,core,"SoFi is a leading fintech company offering a comprehensive suite of financial products and services, directly aligning with the digital finance, payments, neobanks, and fintech infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure"
